"food","type","country","size"
"Apple","Boskoop","Germany","lose"
"Apple","Braeburn","Germany","lose"
"Apple","Braeburn","Italy","70/75"
"Apple","Braeburn","Italy","75/80"
"Apple","Braeburn","Italy","80/85"
"Apple","Elstar","Germany","75/80"
"Apple","Elstar","Germany","lose"
"Apple","Elstar","Netherlands","lose"
"Apple","Gala","Germany","lose"
"Apple","Gala","Italy","70/75"
"Apple","Gala","Italy","75/80"
"Apple","Gala","Italy","80/85"
"Apple","Gala","Italy","lose"
"Apple","Granny Smith","France","70/75"
"Apple","Granny Smith","France","75/80"
"Apple","Granny Smith","Italy","70/75"
"Apple","Granny Smith","Italy","75/80"
"Apple","Granny Smith","Italy","80/85"
"Apple","Granny Smith","Italy","lose"
"Apple","Holsteiner Cox","Germany","lose"
"Apple","Jazz","France","75/80"
"Apple","Jazz","France","80/85"
"Apple","Jazz","New Zealand","70/75"
"Apple","Jazz","New Zealand","75/80"
"Apple","Jonagold","Germany","75/80"
"Apple","Jonagold","Germany","80/85"
"Apple","Jonagold","Germany","lose"
"Apple","Jonagored","Germany","lose"
"Apple","Kanzi","Germany","75/80"
"Apple","Kanzi","Germany","lose"
"Apple","Kanzi","Italy","70/75"
"Apple","Kanzi","Italy","75/80"
"Apple","Pink Lady","Chile","75/80"
"Apple","Pink Lady","France","75/80"
"Apple","Pink Lady","France","80/85"
"Apple","Pink Lady","Italy","70/75"
"Apple","Pinova","Germany","lose"
"Apple","Red Delicious","Germany","lose"
"Apple","Red Delicious","Italy","70/75"
"Apple","Red Delicious","Italy","75/80"
"Apple","Red Delicious","Italy","80/85"
"Artichoke","unknown","France","/"
"Artichoke","unknown","Italy","/"
"Banana","Erstmarke","unknown","/"
"Banana","other brands","unknown","/"
"Beans","Bush bean","Morocco","/"
"Beans","Runner bean","Morocco","/"
"Beans","Runner bean","Spain","/"
"Bell Pepper","green","Belgium","/"
"Bell Pepper","green","Netherlands","/"
"Bell Pepper","green","Spain","/"
"Bell Pepper","green","Turkey","/"
"Bell Pepper","red","Belgium","/"
"Bell Pepper","red","Netherlands","/"
"Bell Pepper","red","Spain","/"
"Bell Pepper","red","Turkey","/"
"Bell Pepper","yellow","Belgium","/"
"Bell Pepper","yellow","Netherlands","/"
"Bell Pepper","yellow","Spain","/"
"Carrot","loose","Belgium","/"
"Carrot","loose","Germany","/"
"Carrot","loose","Italy","/"
"Carrot","loose","Netherlands","/"
"Cauliflower","unknown","Belgium","6er"
"Cauliflower","unknown","France","6er"
"Cauliflower","unknown","Germany","6er"
"Cauliflower","unknown","Germany","8er"
"Cauliflower","unknown","Italy","6er"
"Cauliflower","unknown","Italy","8er"
"Cucumber","Cucumber","Belgium","300/350"
"Cucumber","Cucumber","Belgium","350/400"
"Cucumber","Cucumber","Belgium","400/500"
"Cucumber","Cucumber","Belgium","500/600"
"Cucumber","Cucumber","Belgium","600/750"
"Cucumber","Cucumber","Germany","300/350"
"Cucumber","Cucumber","Germany","350/400"
"Cucumber","Cucumber","Germany","400/500"
"Cucumber","Cucumber","Germany","500/600"
"Cucumber","Cucumber","Netherlands","300/350"
"Cucumber","Cucumber","Netherlands","350/400"
"Cucumber","Cucumber","Netherlands","400/500"
"Cucumber","Cucumber","Netherlands","500/600"
"Cucumber","Cucumber","Netherlands","600/750"
"Cucumber","mini","Germany","/"
"Cucumber","mini","Netherlands","/"
"Eggplant","unknown","Belgium","/"
"Eggplant","unknown","Italy","/"
"Eggplant","unknown","Netherlands","/"
"Eggplant","unknown","Spain","/"
"Eggplant","unknown","Turkey","/"
"Endive","unknown","Belgium","/"
"Endive","unknown","Germany","/"
"Grapes","Thompson Seedless","South Africa","/"
"Iceberg Lettuce","unknown","Germany","/"
"Iceberg Lettuce","unknown","Netherlands","/"
"Iceberg Lettuce","unknown","Spain","/"
"Kiwi","unknown","Chile","30/33"
"Kiwi","unknown","Greece","25/27"
"Kiwi","unknown","Greece","30/33"
"Kiwi","unknown","Italy","25/27"
"Kiwi","unknown","Italy","30/33"
"Kiwi","unknown","Italy","36/39"
"Kiwi","unknown","New Zealand","25/27"
"Kiwi","unknown","New Zealand","30/33"
"Kiwi","unknown","New Zealand","36/39"
"Leek","unknown","Belgium","/"
"Leek","unknown","Germany","/"
"Leek","unknown","Netherlands","/"
"Lemon","unknown","South Africa","3/4"
"Lemon","unknown","Spain","3/4"
"Lemon","unknown","Spain","5/6"
"Lemon","unknown","Turkey","3/4"
"Nectarine","white-fleshed","Italy","A"
"Nectarine","white-fleshed","Spain",">AA"
"Nectarine","white-fleshed","Spain","A"
"Nectarine","white-fleshed","Spain","AA"
"Onion","Housewares","Germany","/"
"Onion","Housewares","Netherlands","/"
"Onion","Spanish onion","Spain","/"
"Orange","Lane Late","Spain","5/6"
"Orange","Navel","Spain","1/2"
"Orange","Navel","Spain","3/4"
"Orange","Navel","Spain","5/6"
"Orange","Valencia Late","Egypt","3/4"
"Orange","Valencia Late","Egypt","5/6"
"Orange","Valencia Late","Egypt","7/8"
"Peach","white-fleshed","Spain",">AA"
"Peach","white-fleshed","Spain","A"
"Peach","white-fleshed","Spain","AA"
"Pear","Abate Fetel","Argentina","70/75"
"Pear","Abate Fetel","Chile","70/75"
"Pear","Abate Fetel","Chile","75/80"
"Pear","Abate Fetel","Italy","65/70"
"Pear","Abate Fetel","Italy","70/75"
"Pear","Abate Fetel","Italy","75/80"
"Pear","Abate Fetel","Italy","80/85"
"Pear","Abate Fetel","South Africa","70/75"
"Pear","Conference","Belgium","lose"
"Pear","Conference","Netherlands","lose"
"Pear","Packham's Triumph","South Africa","70/75"
"Pear","Packham's Triumph","South Africa","75/80"
"Pear","Santa Maria","Italy","65/70"
"Pear","Santa Maria","Italy","70/75"
"Pear","Santa Maria","Italy","75/80"
"Pear","Santa Maria","Turkey","65/70"
"Pear","Santa Maria","Turkey","70/75"
"Pear","Santa Maria","Turkey","75/80"
"Pear","Williams Christ","Italy","65/70"
"Pear","Williams Christ","Italy","70/75"
"Pear","Williams Christ","Italy","75/80"
"Pear","Williams Christ","Italy","80/85"
"Strawberry","unknown","Germany","/"
"Strawberry","unknown","Netherlands","/"
"Tomato","cherry","Belgium","/"
"Tomato","cherry","Germany","/"
"Tomato","cherry","Italy","/"
"Tomato","cherry","Netherlands","/"
"Tomato","cherry","Spain","/"
"Tomato","flesh","Belgium","/"
"Tomato","round","Belgium","/"
"Tomato","round","Morocco","/"
"Tomato","round","Netherlands","/"
"Tomato","truss","Belgium","/"
"Tomato","truss","Germany","/"
"Tomato","truss","Netherlands","/"
"Zucchini","unknown","Italy","/"
"Zucchini","unknown","Spain","/"
"Zucchini","unknown","Turkey","/"
